Model,Graph_Type,Strategy,Loss_Type,Alpha,Gamma,F1,Precision,Recall,Accuracy,Time
HeteroGNN,Heterogeneous,Baseline,ce_unweighted,0.0,0.0,0.8840688107703815,0.9022900763358779,0.8665689149560117,0.9778127683939307,6.892950534820557
GraphSAGE,Homogeneous,Baseline,ce_unweighted,0.0,0.0,0.8681318681318682,0.9341216216216216,0.8108504398826979,0.9759519038076152,1.0736238956451416
HeteroGNN,Heterogeneous,Weighted CE (α=0.5),ce,0.5,0.0,0.8594319009468318,0.85383502170767,0.8651026392961877,0.9723733180647008,6.979798078536987
GraphSAGE,Homogeneous,Weighted CE (α=0.5),ce,0.5,0.0,0.8589562764456982,0.8274456521739131,0.8929618768328446,0.9713713140566848,1.0813868045806885
HeteroGNN,Heterogeneous,Weighted CE (α=1.0),ce,1.0,0.0,0.8002489110143124,0.6951351351351351,0.9428152492668622,0.9540509590609791,7.0184056758880615
GraphSAGE,Homogeneous,Weighted CE (α=1.0),ce,1.0,0.0,0.7946936197094125,0.6981132075471698,0.9222873900293255,0.9534783853421128,1.1045820713043213
GAT,Homogeneous,Baseline,ce_unweighted,0.0,0.0,0.790468364831553,0.8990654205607477,0.7052785923753666,0.9634984254222732,2.8922927379608154
HeteroGNN,Heterogeneous,"Focal Loss (α=0.5, γ=2.0)",focal,0.5,2.0,0.7873248019500305,0.6736183524504692,0.9472140762463344,0.950042943028915,6.860555648803711
GraphSAGE,Homogeneous,"Focal Loss (α=0.5, γ=2.0)",focal,0.5,2.0,0.7828746177370031,0.6715634837355718,0.9384164222873901,0.9491840824506155,1.1080644130706787
GCN,Homogeneous,Weighted CE (α=0.5),ce,0.5,0.0,0.7225806451612903,0.6451612903225806,0.8211143695014663,0.9384483252218723,1.3894574642181396
GCN,Homogeneous,Baseline,ce_unweighted,0.0,0.0,0.721030042918455,0.8695652173913043,0.6158357771260997,0.9534783853421128,1.816406488418579
GAT,Homogeneous,Weighted CE (α=0.5),ce,0.5,0.0,0.7008547008547008,0.5731593662628145,0.9017595307917888,0.9248496993987976,2.8640196323394775
GCN,Homogeneous,Weighted CE (α=1.0),ce,1.0,0.0,0.6422893481717011,0.5029045643153527,0.8885630498533724,0.9033781849413112,1.3797166347503662
HeteroGNN,Heterogeneous,"Focal Loss (α=1.0, γ=2.0)",focal,1.0,2.0,0.624706434945984,0.45957152729785766,0.9750733137829912,0.8856283996564558,6.929576635360718
GraphSAGE,Homogeneous,"Focal Loss (α=1.0, γ=2.0)",focal,1.0,2.0,0.6158139534883721,0.45095367847411444,0.9706744868035191,0.8817635270541082,1.0983271598815918
GCN,Homogeneous,"Focal Loss (α=0.5, γ=2.0)",focal,0.5,2.0,0.5952153110047846,0.44176136363636365,0.9120234604105572,0.8789006584597767,1.4177398681640625
GAT,Homogeneous,Weighted CE (α=1.0),ce,1.0,0.0,0.5289795918367347,0.3665158371040724,0.9501466275659824,0.8348124821070713,2.7521586418151855
GAT,Homogeneous,"Focal Loss (α=0.5, γ=2.0)",focal,0.5,2.0,0.44534412955465585,0.2892199824715162,0.967741935483871,0.7646722015459491,2.8435933589935303
GCN,Homogeneous,"Focal Loss (α=1.0, γ=2.0)",focal,1.0,2.0,0.43623283191628515,0.2807239057239057,0.9780058651026393,0.753220727168623,1.3656375408172607
GAT,Homogeneous,"Focal Loss (α=1.0, γ=2.0)",focal,1.0,2.0,0.31662763466042154,0.18840579710144928,0.9912023460410557,0.5823074720870312,2.7325661182403564
